topic_id,category,pillar,title,observation,claim,novelty,scope,region,footage,demonstration,evidence_status,support_review,editorial_scores,editorial_note,sources,subject,claim_id
home-001,home,technology,Why your kettle gets quieter just before it boils,your kettle gets quieter just before it boils,Collapsing steam bubbles make noise below boiling; fewer collapse when surrounding water gets hot.,Collapsing steam bubbles make noise below boiling; fewer collapse when surrounding water gets hot.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film your kettle gets quieter just before it boils; start with the visible detail, then a different close-up of the same object.",Compare bubble collapse below and at boiling.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://physics.org/"", ""publisher"": ""physics.org"", ""research_lead_only"": true}]",electric-kettle,mechanism-882b0b751c102b64
home-002,home,technology,Why a fridge warms the kitchen while cooling your milk,a fridge warms the kitchen while cooling your milk,The condenser releases the heat removed from inside plus energy used by the compressor.,The condenser releases the heat removed from inside plus energy used by the compressor.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a fridge warms the kitchen while cooling your milk; start with the visible detail, then a different close-up of the same object.",Trace heat from milk to rear coils.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www1.eere.energy.gov/buildings/appliance_standards/pdfs/refrig_finalrule_tsd.pdf"", ""publisher"": ""energy.gov""}, {""url"": ""https://www.energy.gov/sites/default/files/2018/11/f57/Chief-2018-refrigeration-units.pdf"", ""publisher"": ""energy.gov""}, {""url"": ""https://www.energy.gov/cmei/femp/purchasing-energy-efficient-commercial-refrigerators-and-freezers"", ""publisher"": ""energy.gov""}]",refrigerators,mechanism-a610050c35b5b2eb
home-003,home,technology,Why a freezer door is harder to reopen immediately,a freezer door is harder to reopen immediately,Cooling recently admitted air reduces pressure inside a well-sealed freezer.,"The resistance changes immediately after closing, although the same door and seal are being used.",Freezers with a sealed door; an equalization valve changes how long the effect lasts.,Global where the specified design is used,"Film a freezer door is harder to reopen immediately; start with the visible detail, then a different close-up of the same object.",Show warm air shrinking behind the gasket.,reviewed,"{""reviewed_at"": ""2026-09-16T05:14:58.061998+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Cooling recently admitted air reduces pressure inside a well-sealed freezer."", ""scope"": ""Freezers with a sealed door; an equalization valve changes how long the effect lasts.""}","{""recognition"": 3, ""overlooked_detail"": 4, ""payoff"": 4, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://home.liebherr.com/media/hau/brochures/commercial-use/en-le/pdf/liebherr-download-en-le-commercial-appliances-bakeries-2016_2017.pdf"", ""publisher"": ""liebherr.com"", ""passage"": ""a vacuum is built up by air exchange"", ""retrieved_at"": ""2026-09-16T05:10:36.698816+00:00""}]",freezers,mechanism-9efb09a5b825c818
home-004,home,technology,Why your dishwasher leaves plastic wetter than glass,your dishwasher leaves plastic wetter than glass,"Plastic stores less heat, leaving less energy to evaporate water during drying.",The wetter plastic may be clean already: the material holds less heat for the drying phase.,Conventional condensation drying; extra drying features can improve results. Plastic pieces vary in shape and thermal mass.,Global where the specified design is used,Show wet plastic beside a dry glass from the same dishwasher load; then film a closer view of the remaining droplets.,Compare cooling and droplets on two plates.,reviewed,"{""reviewed_at"": ""2026-09-17T03:24:08.878476+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Plastic stores less heat, leaving less energy to evaporate water during drying."", ""scope"": ""Conventional condensation drying; extra drying features can improve results. Plastic pieces vary in shape and thermal mass.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.bosch-home.com/za/customer-service/get-support/dishwasher-not-drying"", ""publisher"": ""bosch-home.com"", ""passage"": ""Plastics do not dry well in a dishwasher because the material does not retain heat."", ""retrieved_at"": ""2026-09-17T03:21:59.880197+00:00""}]",dishwashers,mechanism-fd93b1be8379ea0e
home-005,home,technology,Why a washing machine reverses direction,a washing machine reverses direction,Alternating drum rotation helps separate and redistribute laundry instead of leaving it tangled.,Alternating drum rotation helps separate and redistribute laundry instead of leaving it tangled.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a washing machine reverses direction; start with the visible detail, then a different close-up of the same object.",Animate towels tumbling in alternating directions.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://tds.electrolux.com/others/599/376/782EN.PDF"", ""publisher"": ""electrolux.com""}, {""url"": ""https://tds.electrolux.com/others/599/352/317EN.PDF"", ""publisher"": ""electrolux.com""}, {""url"": ""https://tds.electrolux.com/others/599/517/413EN.PDF"", ""publisher"": ""electrolux.com""}]",washing-machines,mechanism-7eea9438f8fc19a8
home-006,home,technology,Why washing machines pause before a fast spin,washing machines pause before a fast spin,An imbalance check redistributes laundry before allowing higher drum speeds.,"The slow reversals can be an attempt to balance the load before a fast spin, rather than wasted time.",Samsung machines with automatic load balancing; behaviour and maximum spin speed vary by model and load.,Global where the specified design is used,"Film washing machines pause before a fast spin; start with the visible detail, then a different close-up of the same object.",Move an uneven load around a drum.,reviewed,"{""reviewed_at"": ""2026-09-17T03:24:08.901105+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""An imbalance check redistributes laundry before allowing higher drum speeds."", ""scope"": ""Samsung machines with automatic load balancing; behaviour and maximum spin speed vary by model and load.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.samsung.com/ie/support/home-appliances/what-to-do-if-your-washing-machine-does-not-spin-as-expected/"", ""publisher"": ""samsung.com"", ""passage"": ""the machine will attempt to automatically reposition the load by rotating slowly in both directions."", ""retrieved_at"": ""2026-09-16T05:10:38.553227+00:00""}]",washing-machines,mechanism-f00fc30321dac655
home-007,home,technology,Why a front-loader can wash with so little visible water,a front-loader can wash with so little visible water,The rotating drum repeatedly lifts clothes through a shallow pool rather than submerging everything.,The rotating drum repeatedly lifts clothes through a shallow pool rather than submerging everything.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a front-loader can wash with so little visible water; start with the visible detail, then a different close-up of the same object.",Show fabric passing through the bottom pool.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.energystar.gov/sites/default/files/2024-10/Laundry%20Partner%20Toolkit%202024.pdf"", ""publisher"": ""energystar.gov""}, {""url"": ""https://www.energystar.gov/sites/default/files/tools/1_Laundry_Partner_Toolkit_2022_0.pdf"", ""publisher"": ""energystar.gov""}, {""url"": ""https://www.energystar.gov/ia/partners/manuf_res/downloads/2007ClothesWasher_PRG_FINAL.pdf"", ""publisher"": ""energystar.gov""}]",washing-machines,mechanism-0bc08c3e81b6759b
home-008,home,technology,Why the last minute on a washer takes longer,the last minute on a washer takes longer,Sensor-controlled phases can extend the estimate to handle imbalance or excess foam.,Sensor-controlled phases can extend the estimate to handle imbalance or excess foam.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film the last minute on a washer takes longer; start with the visible detail, then a different close-up of the same object.",Show an estimated timer waiting for balance.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.lg.com/us/support/help-library/lg-washer-cycle-time-does-not-change--1337701006321"", ""publisher"": ""lg.com""}, {""url"": ""https://www.lg.com/us/support/help-library/lg-washerdrying-function-dry-time-stops-at-6minutes--20154720331426"", ""publisher"": ""lg.com""}, {""url"": ""https://www.lg.com/us/support/help-library/lg-frontload-washer-wash-time-keeps-extending-CT10000012-20153782074388"", ""publisher"": ""lg.com""}]",washing-machines,mechanism-a644fcd99167c33d
home-009,home,technology,Why your tumble dryer keeps turning after it finishes,your tumble dryer keeps turning after it finishes,Intermittent post-cycle tumbling reduces creasing while clothes wait to be removed.,Intermittent post-cycle tumbling reduces creasing while clothes wait to be removed.,Bosch dryers with the anti-crease feature enabled; not a claim that every dryer continues tumbling.,Global where the specified design is used,"Film your tumble dryer keeps turning after it finishes; start with the visible detail, then a different close-up of the same object.",Compare a resting fold with loosened laundry.,reviewed,"{""reviewed_at"": ""2026-09-16T05:14:58.062998+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Intermittent post-cycle tumbling reduces creasing while clothes wait to be removed."", ""scope"": ""Bosch dryers with the anti-crease feature enabled; not a claim that every dryer continues tumbling.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.bosch-home.com/us/owner-support/dryers/tips-and-tricks"", ""publisher"": ""bosch-home.com"", ""passage"": ""Anti-Crease: Periodically tumbles clothes after the drying cycle"", ""retrieved_at"": ""2026-09-16T05:10:43.594811+00:00""}]",dryers,mechanism-9ddda33ca334a5cd
home-010,home,technology,Why a dryer can work without blowing hot air outside,a dryer can work without blowing hot air outside,Heat-pump dryers recycle warm air in a closed loop instead of exhausting that air outdoors.,They recycle heat at lower drying temperatures instead of continually exhausting hot air.,Heat-pump dryers; compare the airflow route without unsupported duration or savings numbers.,Global where the specified design is used,"Film heat-pump dryers take longer but use less power; start with the visible detail, then a different close-up of the same object.",Draw two airflow loops side by side.,reviewed,"{""reviewed_at"": ""2026-09-16T05:14:58.062998+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Heat-pump dryers recycle warm air in a closed loop instead of exhausting that air outdoors."", ""scope"": ""Heat-pump dryers; compare the airflow route without unsupported duration or savings numbers.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.energystar.gov/sites/default/files/2024-10/ES_Laundry_Factsheet_10-23-2024.pdf"", ""publisher"": ""energystar.gov"", ""passage"": ""a closed loop system that continuously recycles warm air"", ""retrieved_at"": ""2026-09-16T05:10:48.683599+00:00""}]",dryers,mechanism-df836806d8313247
