title,category,viral_score
Why Your Brain Replays Cringe Moments,Psychology,9.9
Why Your Brain Refuses To Stop Playing That Song,Psychology,9.8
Why Your Brain Deletes Your Mission At Every Doorway,Psychology,10
Why You're Suddenly Breathing Manually,Psychology,10
Why Your Brain Hides Objects In Plain Sight,Psychology,9.8
Why Nobody Wants The First Bathroom Stall,Psychology,9.5
Why Mirrors Lie About Your Face,Psychology,9.6
Why Cameras Make You Hate Your Own Face,Psychology,9.8
Why Other People's Yawns Infect You,Psychology,9.7
Why Your Brain Loves Tiny Explosions,Psychology,9.5
Why Grocery Stores Want You Lost,Shopping,10
Why Milk Is Never Near The Entrance,Shopping,10
Why Checkout Lines Make You Spend More,Shopping,9.9
Why Everything Ends In .99,Shopping,10
Why Shopping Carts Keep Growing,Shopping,9.8
Why Stores Pump Smells Into The Air,Shopping,9.7
Why Supermarkets Move Everything Around,Shopping,9.9
Why Your Eyes Buy The Most Expensive Item,Shopping,9.8
Why Slow Music Makes You Spend More,Shopping,9.9
Why Luxury Stores Want You Alone,Shopping,9.4
Why Winter Kills Your Phone,Technology,9.6
Why Your WiFi Dies When Guests Arrive,Technology,9.4
Why Websites Beg For Cookies,Technology,9.8
Why Apps Desperately Want Permission,Technology,9.7
Why YouTube Refuses To Let You Leave,Technology,9.9
Netflix Knows You're Lying,Technology,9.6
Why You Feel Phantom Vibrations,Technology,10
Why Phone Chargers Always Die First,Technology,9.3
Why Autocorrect Changes The Right Words,Technology,9.2
Why Password Rules Keep Getting Worse,Technology,8.9
Why Airports Make You Walk Miles,Airports,10
Why Your Airport Gate Always Changes,Airports,9.8
Why Airports Use Weird Carpets,Airports,9.5
The Real Reason TSA Wants Your Laptop,Airports,9.8
Why Airports Freeze Everyone,Airports,9.4
Why Duty Free Is Always After Security,Airports,9.7
Why Airport Windows Are Massive,Airports,9.2
Why Airports Don't Want You Sleeping,Airports,9.8
Why Boarding Is Designed To Be Slow,Airports,9.5
Why Airport Announcements Repeat Everything,Airports,9.1
Why McDonald's Coke Is Different,Food,10
Why Popcorn Costs More Than The Movie,Food,10
Why Your Small Drink Isn't Small,Food,9.7
Why Restaurants Give You Free Bread,Food,9.5
Why Ice Cream Machines Never Work,Food,10
Why Menus Trick Your Brain,Food,9.7
Why Buffets Secretly Want You Full,Food,9.5
Why Chip Bags Are Mostly Air,Food,9.9
Why Pizza Boxes Are Square,Food,9.2
Why Fast Food Fries Are Addictive,Food,9.7
Why Gas Pumps Never Overflow,Cars,9.4
Why Every Speed Bump Feels Different,Cars,9.1
Why Red Lights Catch You,Cars,9.8
Why Parking Lots Make You Walk,Cars,9.3
Why Every Car Looks The Same,Cars,8.9
Why Objects Are Closer Than They Appear,Cars,9.6
Why Your Car Never Stops Beeping,Cars,9.2
Why Wipers Suddenly Get Loud,Cars,8.7
Why Steering Wheels Aren't Square,Cars,8.8
Why Highway Gas Costs More,Cars,9.4
Why Your Body Randomly Glitches,Body,9.8
Why Your Legs Suddenly Stop Working,Body,9.7
Why Your Body Thinks You're Still A Caveman,Body,9.5
Why Onions Weaponize Chemistry,Body,9.4
Why Water Gives You Wrinkly Fingers,Body,9.5
Why Your Eyelid Won't Stop Twitching,Body,9.3
Why Stretching Feels So Good,Body,9.1
Why Your Brain Thinks Spice Is Fire,Body,9.6
Why Your Body Vibrates In The Cold,Body,9.0
Why Your Brain Can't Explain Laughter,Body,9.3
Why Videos Always Freeze At The Worst Time,Internet,9.2
Why Captchas Hate Humans,Internet,9.8
Why Ads Sound Louder Than Everything Else,Internet,9.9
Why Websites Never Forget You,Internet,9.6
Why Companies Make Leaving Difficult,Internet,9.8
Why Apps Hide The Exit,Internet,9.6
Why Free Trials Want Your Credit Card,Internet,9.7
Why Nobody Reads Terms And Conditions,Internet,9.5
Why Online Stores Fake Urgency,Internet,9.9
Why Ads Ruin Everything,Internet,9.3
Why Hotel Pillows Hurt Your Neck,Design,9.8
Why Every Hotel Feels Familiar,Design,10
Why Elevators Have Mirrors,Design,10
Why Escalator Handrails Beat You,Design,9.7
Why Casinos Hide Time,Design,10
Why Bathroom Doors Never Close,Design,10
Why Receipts Never End,Design,9.8
Why Malls Want You Lost,Design,9.8
Why IKEA Traps You,Design,10
Why Hotel Mirrors Never Fog,Design,9.1
Why Your Brain Thinks Everyone Said Your Name,Psychology,9.5
Why Time Gets Faster Every Year,Psychology,10
Why Your Brain Ignores Your Own Tickles,Psychology,9.8
Why Darkness Creates Faces,Psychology,9.5
Why Smells Unlock Forgotten Memories,Psychology,9.8
Why Your Dreams Self-Destruct,Psychology,9.7
Why Your Brain Knows The Time,Psychology,9.6
Why Your Brain Is Addicted To Sugar,Psychology,9.7
Why Your Brain Loves Tomorrow,Psychology,9.9
Why You Open The Fridge Twice,Psychology,10
