title,category,viral_score
Why The Home Team Wins More Often,Sports,9.2
Why Goalkeepers Dive The Wrong Way On Penalties,Sports,9.3
Why You Trust The Team In Red,Sports,9.1
Why The Crowd Goes Quiet Before A Free Kick,Sports,9.0
Why A Last Minute Goal Feels Better,Sports,8.5
Why Underdogs Win On Neutral Ground,Sports,9.0
Why Players Spit So Much,Sports,9.1
Why Stadiums Are Loudest Behind The Goal,Sports,8.7
Why The Toss Matters More Than You Think,Sports,9.0
Why Comebacks Feel Impossible Then Happen,Sports,8.5
Why Refs Get Blamed For Everything,Sports,8.6
Why The Wave Goes Around A Stadium,Sports,9.1
Why Athletes Wear The Same Socks For Luck,Sports,9.2
Why The First Corner Decides An F1 Race,Sports,9.1
Why Marathon Runners Hit A Wall,Sports,9.4
Why The Best Players Take The Last Penalty,Sports,9.5
Why Fans Boo The Opposing Keeper,Sports,9.1
Why A One Goal Lead Is The Most Dangerous,Sports,9.0
Why You Open The Fridge Again Right After Closing It,Home,9.6
Why The Last Bit Of Soap Won't Lather,Home,9.0
Why Your Phone Charges Slower On The Couch,Home,9.3
Why The Remote Always Disappears,Home,8.7
Why One Sock Always Goes Missing,Home,9.2
Why The Doorbell Makes The Dog Lose It,Home,8.9
Why Tupperware Lids Never Match,Home,9.3
Why The Toilet Paper Roll Runs Out At The Worst Time,Home,9.3
Why Cables Tangle In A Drawer,Home,9.2
Why You Can Never Find Scissors When You Need Them,Home,9.6
Why The Shower Gets Cold When The Toilet Flushes,Home,8.8
Why Smoke Alarms Beep At 3 AM,Home,9.0
Why Fitted Sheets Are Impossible To Fold,Home,9.2
Why The Junk Drawer Fills Itself,Home,8.9
Why Light Bulbs Burn Out When You Flip The Switch,Home,9.0
Why The WiFi Is Worst In The Bedroom,Home,9.2
Why You Keep Buying Things You Already Own,Home,9.7
Why The Microwave Finishes At 1 Second,Home,8.9
Why The Sky Is Blue But Sunsets Are Red,Nature,8.5
Why You Can Smell Rain Before It Falls,Nature,9.1
Why Cats Knock Things Off Tables,Nature,9.5
Why Moths Fly Into Lights,Nature,9.5
Why Leaves Change Color In Fall,Nature,9.3
Why The Ocean Looks Blue But Water Is Clear,Nature,8.7
Why Dogs Tilt Their Heads,Nature,8.9
Why Mosquitoes Bite Some People More,Nature,9.0
Why Thunder Comes After Lightning,Nature,8.7
Why Birds Don't Get Shocked On Power Lines,Nature,8.6
Why The Moon Follows You In The Car,Nature,8.7
Why Bees Die After They Sting,Nature,8.6
Why Some Days Feel Hotter Than The Temperature,Nature,8.8
Why Flowers Smell Stronger At Night,Nature,9.3
Why You Hear The Ocean In A Seashell,Nature,9.2
Why Spiders Build Webs Overnight,Nature,8.6
Why Meetings Always Run Over,Work,8.7
Why Mondays Feel Worse Than They Are,Work,9.4
Why The Office Is Always Too Cold Or Too Hot,Work,8.8
Why You Work Better At The Last Minute,Work,9.2
Why Email Threads Never End,Work,8.8
Why The Printer Jams Before A Deadline,Work,8.6
Why You Look Busy When The Boss Walks By,Work,9.1
Why Open Offices Make You Less Productive,Work,9.2
Why The Best Ideas Come In The Shower Not At Your Desk,Work,8.9
Why Lunch Meetings Get Less Done,Work,9.0
Why You Check Email First Thing And Regret It,Work,9.4
Why Friday Afternoons Feel Useless,Work,9.0
Why Job Interviews Ask Where You'll Be In Five Years,Work,9.5
Why The Quietest Person Is Often The Smartest,Work,9.3
Why Vacations Feel Short In The Moment But Long Looking Back,Time,9.1
Why Waiting Feels Longer Than It Is,Time,8.9
Why The Drive Home Feels Quicker,Time,9.0
Why A Watched Pot Never Boils,Time,9.4
Why Boring Meetings Slow Down Time,Time,9.1
Why Childhood Summers Felt Endless,Time,9.0
Why The Weekend Disappears Instantly,Time,8.7
Why You Lose Track Of Time On Your Phone,Time,9.5
Why Deadlines Make You Faster,Time,9.1
Why The Last Hour Of Work Drags,Time,9.2
